Treatment	Plot	Rep	Month	Year	Phylum	LogCopyNumber	SoilMoisture	SoilMoisturePlot
2	1	2	2	3	Acidobacteria	7.691576289	16.825	NA
2	1	2	2	3	Acidobacteria	7.682334145	16.825	NA
2	2	1	2	3	Acidobacteria	7.538156696	16.825	17.9
2	2	1	2	3	Acidobacteria	7.619487564	16.825	17.9
2	2	1	2	3	Acidobacteria	7.554792555	16.825	17.9
2	2	2	2	3	Acidobacteria	7.351465383	16.825	16.4
2	2	2	2	3	Acidobacteria	7.30895152	16.825	16.4
2	2	2	2	3	Acidobacteria	7.45128054	16.825	16.4
2	3	1	2	3	Acidobacteria	7.869025457	16.825	19.1
2	3	1	2	3	Acidobacteria	7.881964459	16.825	19.1
2	3	1	2	3	Acidobacteria	7.941114182	16.825	19.1
2	3	2	2	3	Acidobacteria	7.536308267	16.825	13.9
2	3	2	2	3	Acidobacteria	7.521520836	16.825	13.9
2	3	2	2	3	Acidobacteria	7.488249117	16.825	13.9
2	4	1	2	3	Acidobacteria	7.445735254	16.825	NA
2	4	1	2	3	Acidobacteria	7.41985725	16.825	NA
2	4	1	2	3	Acidobacteria	7.562186271	16.825	NA
2	4	2	2	3	Acidobacteria	7.710060577	16.825	NA
2	4	2	2	3	Acidobacteria	7.783997731	16.825	NA
2	4	2	2	3	Acidobacteria	7.708212149	16.825	NA
2	5	1	2	3	Acidobacteria	6.843147454	16.825	NA
2	5	1	2	3	Acidobacteria	6.889358174	16.825	NA
2	5	1	2	3	Acidobacteria	6.859783313	16.825	NA
2	5	2	2	3	Acidobacteria	7.493794404	16.825	NA
2	5	2	2	3	Acidobacteria	7.292315661	16.825	NA
2	5	2	2	3	Acidobacteria	NA	16.825	NA
1	1	1	1	1	Actinobacteria	6.242421503	26.76666667	28.6
1	1	1	1	1	Actinobacteria	6.202223528	26.76666667	28.6
1	1	1	1	1	Actinobacteria	6.199711155	26.76666667	28.6
1	1	2	1	1	Actinobacteria	6.026357387	26.76666667	25.4
1	1	2	1	1	Actinobacteria	6.046456375	26.76666667	25.4
1	1	2	1	1	Actinobacteria	6.028869761	26.76666667	25.4
1	2	1	1	1	Actinobacteria	7.330279202	26.76666667	26.7
1	2	1	1	1	Actinobacteria	7.385551418	26.76666667	26.7
1	2	1	1	1	Actinobacteria	7.395600912	26.76666667	26.7
1	2	2	1	1	Actinobacteria	7.460922621	26.76666667	27.5
1	2	2	1	1	Actinobacteria	7.360427683	26.76666667	27.5
1	2	2	1	1	Actinobacteria	7.44584838	26.76666667	27.5
1	3	1	1	1	Actinobacteria	6.056505868	26.76666667	26.1
1	3	1	1	1	Actinobacteria	6.053993495	26.76666667	26.1
1	3	1	1	1	Actinobacteria	6.056505868	26.76666667	26.1
1	3	2	1	1	Actinobacteria	5.971085172	26.76666667	28.8
1	3	2	1	1	Actinobacteria	5.953498557	26.76666667	28.8
1	3	2	1	1	Actinobacteria	5.958523304	26.76666667	28.8
1	4	1	1	1	Actinobacteria	6.649426	26.76666667	22.5
1	4	1	1	1	Actinobacteria	6.64188888	26.76666667	22.5
1	4	1	1	1	Actinobacteria	6.707210589	26.76666667	22.5
1	4	2	1	1	Actinobacteria	5.930887197	26.76666667	22.3
1	4	2	1	1	Actinobacteria	5.93339957	26.76666667	22.3
1	4	2	1	1	Actinobacteria	5.905763462	26.76666667	22.3
1	5	1	1	1	Actinobacteria	7.099140846	26.76666667	30
1	5	1	1	1	Actinobacteria	7.084066605	26.76666667	30
1	5	1	1	1	Actinobacteria	7.104165593	26.76666667	30
1	5	2	1	1	Actinobacteria	7.109190339	26.76666667	30.1
1	5	2	1	1	Actinobacteria	7.134314074	26.76666667	30.1
1	5	2	1	1	Actinobacteria	7.104165593	26.76666667	30.1
1	1	1	2	2	Actinobacteria	NA	19.58333333	25.4
1	1	1	2	2	Actinobacteria	NA	19.58333333	25.4
1	1	1	2	2	Actinobacteria	NA	19.58333333	25.4
1	1	2	2	2	Actinobacteria	NA	19.58333333	24.3
1	1	2	2	2	Actinobacteria	NA	19.58333333	24.3
1	1	2	2	2	Actinobacteria	NA	19.58333333	24.3
1	2	1	2	2	Actinobacteria	NA	19.58333333	19.5
1	2	1	2	2	Actinobacteria	6.687111602	19.58333333	19.5
1	2	1	2	2	Actinobacteria	NA	19.58333333	19.5
1	2	2	2	2	Actinobacteria	6.948398439	19.58333333	20.9
1	2	2	2	2	Actinobacteria	6.976034547	19.58333333	20.9
1	2	2	2	2	Actinobacteria	6.950910813	19.58333333	20.9
1	3	1	2	2	Actinobacteria	7.27751936	19.58333333	17.5
1	3	1	2	2	Actinobacteria	7.335303949	19.58333333	17.5
1	3	1	2	2	Actinobacteria	7.352890563	19.58333333	17.5
1	3	2	2	2	Actinobacteria	7.264957493	19.58333333	20.9
1	3	2	2	2	Actinobacteria	7.292593601	19.58333333	20.9
1	3	2	2	2	Actinobacteria	7.280031733	19.58333333	20.9
1	4	1	2	2	Actinobacteria	6.762482805	19.58333333	13.6
1	4	1	2	2	Actinobacteria	6.764995178	19.58333333	13.6
1	4	1	2	2	Actinobacteria	6.764995178	19.58333333	13.6
1	4	2	2	2	Actinobacteria	6.579079544	19.58333333	14.3
1	4	2	2	2	Actinobacteria	6.586616664	19.58333333	14.3
1	4	2	2	2	Actinobacteria	6.558980556	19.58333333	14.3
1	5	1	2	2	Actinobacteria	6.56903005	19.58333333	22
1	5	1	2	2	Actinobacteria	6.636864133	19.58333333	22
1	5	1	2	2	Actinobacteria	6.621789892	19.58333333	22
1	5	2	2	2	Actinobacteria	6.646913627	19.58333333	20.9
1	5	2	2	2	Actinobacteria	6.654450747	19.58333333	20.9
1	5	2	2	2	Actinobacteria	6.667012614	19.58333333	20.9
1	1	1	1	2	Actinobacteria	NA	26.3	24.7
1	1	1	1	2	Actinobacteria	NA	26.3	24.7
1	1	1	1	2	Actinobacteria	NA	26.3	24.7
1	1	2	1	2	Actinobacteria	NA	26.3	23.4
1	1	2	1	2	Actinobacteria	NA	26.3	23.4
1	1	2	1	2	Actinobacteria	NA	26.3	23.4
1	2	1	1	2	Actinobacteria	7.202148157	26.3	22
1	2	1	1	2	Actinobacteria	7.202148157	26.3	22
1	2	1	1	2	Actinobacteria	7.19712341	26.3	22
1	2	2	1	2	Actinobacteria	7.096628472	26.3	27.3
1	2	2	1	2	Actinobacteria	7.089091352	26.3	27.3
1	2	2	1	2	Actinobacteria	7.048893377	26.3	27.3
1	3	1	1	2	Actinobacteria	7.460922621	26.3	26.8
1	3	1	1	2	Actinobacteria	7.463434994	26.3	26.8
1	3	1	1	2	Actinobacteria	7.481021608	26.3	26.8
1	3	2	1	2	Actinobacteria	5.842954126	26.3	25.1
1	3	2	1	2	Actinobacteria	7.546343318	26.3	25.1
1	3	2	1	2	Actinobacteria	7.478509235	26.3	25.1
1	4	1	1	2	Actinobacteria	6.88307673	26.3	18.1
1	4	1	1	2	Actinobacteria	6.923274705	26.3	18.1
1	4	1	1	2	Actinobacteria	6.905688091	26.3	18.1
1	4	2	1	2	Actinobacteria	6.898150971	26.3	17.6
1	4	2	1	2	Actinobacteria	5.383189787	26.3	17.6
1	4	2	1	2	Actinobacteria	6.787606539	26.3	17.6
1	5	1	1	2	Actinobacteria	6.920762332	26.3	21.9
1	5	1	1	2	Actinobacteria	6.928299452	26.3	21.9
1	5	1	1	2	Actinobacteria	6.943373693	26.3	21.9
1	5	2	1	2	Actinobacteria	7.114215086	26.3	22.2
1	5	2	1	2	Actinobacteria	7.144363568	26.3	22.2
1	5	2	1	2	Actinobacteria	7.139338821	26.3	22.2
1	1	1	2	3	Actinobacteria	NA	17.73333333	NA
1	1	1	2	3	Actinobacteria	NA	17.73333333	NA
1	1	1	2	3	Actinobacteria	NA	17.73333333	NA
1	1	2	2	3	Actinobacteria	NA	17.73333333	NA
1	1	2	2	3	Actinobacteria	NA	17.73333333	NA
1	1	2	2	3	Actinobacteria	NA	17.73333333	NA
1	2	1	2	3	Actinobacteria	6.991108788	17.73333333	20.7
1	2	1	2	3	Actinobacteria	6.996133535	17.73333333	20.7
1	2	1	2	3	Actinobacteria	6.913225211	17.73333333	20.7
1	2	2	2	3	Actinobacteria	6.928299452	17.73333333	20.5
1	2	2	2	3	Actinobacteria	6.888101477	17.73333333	20.5
1	2	2	2	3	Actinobacteria	6.855440622	17.73333333	20.5
1	3	1	2	3	Actinobacteria	6.938348946	17.73333333	19.2
1	3	1	2	3	Actinobacteria	6.812730274	17.73333333	19.2
1	3	1	2	3	Actinobacteria	6.935836572	17.73333333	19.2
1	3	2	2	3	Actinobacteria	6.986084041	17.73333333	20.6
1	3	2	2	3	Actinobacteria	6.978546921	17.73333333	20.6
1	3	2	2	3	Actinobacteria	6.692136349	17.73333333	20.6
1	4	1	2	3	Actinobacteria	6.674549735	17.73333333	NA
1	4	1	2	3	Actinobacteria	6.659475494	17.73333333	NA
1	4	1	2	3	Actinobacteria	6.49617122	17.73333333	NA
1	4	2	2	3	Actinobacteria	6.571542424	17.73333333	15.9
1	4	2	2	3	Actinobacteria	6.579079544	17.73333333	15.9
1	4	2	2	3	Actinobacteria	6.986084041	17.73333333	15.9
1	5	1	2	3	Actinobacteria	6.986084041	17.73333333	NA
1	5	1	2	3	Actinobacteria	7.028794389	17.73333333	NA
1	5	1	2	3	Actinobacteria	7.222247144	17.73333333	NA
1	5	2	2	3	Actinobacteria	7.21219765	17.73333333	NA
1	5	2	2	3	Actinobacteria	7.209685277	17.73333333	NA
1	5	2	2	3	Actinobacteria	NA	17.73333333	NA
2	1	1	1	1	Actinobacteria	5.473635231	27.11666667	30.1
2	1	1	1	1	Actinobacteria	5.506296085	27.11666667	30.1
2	1	1	1	1	Actinobacteria	5.53141982	27.11666667	30.1
2	1	2	1	1	Actinobacteria	6.526319702	27.11666667	27.6
2	1	2	1	1	Actinobacteria	6.546418689	27.11666667	27.6
2	1	2	1	1	Actinobacteria	6.516270208	27.11666667	27.6
2	2	1	1	1	Actinobacteria	7.405650405	27.11666667	25.1
2	2	1	1	1	Actinobacteria	7.410675152	27.11666667	25.1
2	2	1	1	1	Actinobacteria	7.375501924	27.11666667	25.1
2	2	2	1	1	Actinobacteria	7.126776954	27.11666667	23.1
2	2	2	1	1	Actinobacteria	7.099140846	27.11666667	23.1
2	2	2	1	1	Actinobacteria	7.129289327	27.11666667	23.1
2	3	1	1	1	Actinobacteria	7.038843883	27.11666667	24.7
2	3	1	1	1	Actinobacteria	7.091603725	27.11666667	24.7
2	3	1	1	1	Actinobacteria	7.114215086	27.11666667	24.7
2	3	2	1	1	Actinobacteria	6.958447933	27.11666667	27.4
2	3	2	1	1	Actinobacteria	6.948398439	27.11666667	27.4
2	3	2	1	1	Actinobacteria	6.965985053	27.11666667	27.4
2	4	1	1	1	Actinobacteria	NA	27.11666667	25.8
2	4	1	1	1	Actinobacteria	NA	27.11666667	25.8
2	4	1	1	1	Actinobacteria	NA	27.11666667	25.8
2	4	2	1	1	Actinobacteria	6.923274705	27.11666667	21.2
2	4	2	1	1	Actinobacteria	6.948398439	27.11666667	21.2
2	4	2	1	1	Actinobacteria	6.903175717	27.11666667	21.2
2	5	1	1	1	Actinobacteria	6.483609353	27.11666667	30.3
2	5	1	1	1	Actinobacteria	6.503708341	27.11666667	30.3
2	5	1	1	1	Actinobacteria	6.4886341	27.11666667	30.3
2	5	2	1	1	Actinobacteria	6.948398439	27.11666667	28.4
2	5	2	1	1	Actinobacteria	6.933324199	27.11666667	28.4
2	5	2	1	1	Actinobacteria	6.920762332	27.11666667	28.4
2	1	1	2	2	Actinobacteria	7.272494613	16.65	16.1
2	1	1	2	2	Actinobacteria	7.267469866	16.65	16.1
2	1	1	2	2	Actinobacteria	7.249883252	16.65	16.1
2	1	2	2	2	Actinobacteria	7.290081227	16.65	17.1
2	1	2	2	2	Actinobacteria	7.300130721	16.65	17.1
2	1	2	2	2	Actinobacteria	7.27751936	16.65	17.1
2	2	1	2	2	Actinobacteria	7.001158282	16.65	17.8
2	2	1	2	2	Actinobacteria	7.066479991	16.65	17.8
2	2	1	2	2	Actinobacteria	7.066479991	16.65	17.8
2	2	2	2	2	Actinobacteria	6.674549735	16.65	16.1
2	2	2	2	2	Actinobacteria	6.717260083	16.65	16.1
2	2	2	2	2	Actinobacteria	6.719772456	16.65	16.1
2	3	1	2	2	Actinobacteria	7.121752207	16.65	14.6
2	3	1	2	2	Actinobacteria	7.171999675	16.65	14.6
2	3	1	2	2	Actinobacteria	7.111702713	16.65	14.6
2	3	2	2	2	Actinobacteria	6.933324199	16.65	16.5
2	3	2	2	2	Actinobacteria	7.013720149	16.65	16.5
2	3	2	2	2	Actinobacteria	6.981059294	16.65	16.5
2	4	1	2	2	Actinobacteria	6.579079544	16.65	19.8
2	4	1	2	2	Actinobacteria	6.614252772	16.65	19.8
2	4	1	2	2	Actinobacteria	6.614252772	16.65	19.8
2	4	2	2	2	Actinobacteria	6.621789892	16.65	14.2
2	4	2	2	2	Actinobacteria	6.64188888	16.65	14.2
2	4	2	2	2	Actinobacteria	6.679574481	16.65	14.2
2	5	1	2	2	Actinobacteria	6.56903005	16.65	16.7
2	5	1	2	2	Actinobacteria	6.574054797	16.65	16.7
2	5	1	2	2	Actinobacteria	6.518782581	16.65	16.7
2	5	2	2	2	Actinobacteria	6.865490116	16.65	15.7
2	5	2	2	2	Actinobacteria	6.893126224	16.65	15.7
2	5	2	2	2	Actinobacteria	6.89061385	16.65	15.7
2	1	1	1	2	Actinobacteria	7.325254455	25.93333333	25.4
2	1	1	1	2	Actinobacteria	7.36545243	25.93333333	25.4
2	1	1	1	2	Actinobacteria	7.320229708	25.93333333	25.4
2	1	2	1	2	Actinobacteria	7.486046355	25.93333333	22.6
2	1	2	1	2	Actinobacteria	7.475996862	25.93333333	22.6
2	1	2	1	2	Actinobacteria	7.448360754	25.93333333	22.6
2	2	1	1	2	Actinobacteria	6.800168406	25.93333333	23.1
2	2	1	1	2	Actinobacteria	6.8102179	25.93333333	23.1
2	2	1	1	2	Actinobacteria	6.832829261	25.93333333	23.1
2	2	2	1	2	Actinobacteria	6.880564357	25.93333333	23.6
2	2	2	1	2	Actinobacteria	6.915737585	25.93333333	23.6
2	2	2	1	2	Actinobacteria	6.873027236	25.93333333	23.6
2	3	1	1	2	Actinobacteria	6.654450747	25.93333333	23.3
2	3	1	1	2	Actinobacteria	6.679574481	25.93333333	23.3
2	3	1	1	2	Actinobacteria	6.64188888	25.93333333	23.3
2	3	2	1	2	Actinobacteria	6.9710098	25.93333333	24.4
2	3	2	1	2	Actinobacteria	6.95593556	25.93333333	24.4
2	3	2	1	2	Actinobacteria	6.920762332	25.93333333	24.4
2	4	1	1	2	Actinobacteria	5.908275836	25.93333333	20.7
2	4	1	1	2	Actinobacteria	5.913300582	25.93333333	20.7
2	4	1	1	2	Actinobacteria	5.905763462	25.93333333	20.7
2	4	2	1	2	Actinobacteria	5.629402384	25.93333333	17.6
2	4	2	1	2	Actinobacteria	5.571617795	25.93333333	17.6
2	4	2	1	2	Actinobacteria	5.574130168	25.93333333	17.6
2	5	1	1	2	Actinobacteria	7.244858505	25.93333333	20.1
2	5	1	1	2	Actinobacteria	7.370477177	25.93333333	20.1
2	5	1	1	2	Actinobacteria	7.367964804	25.93333333	20.1
2	5	2	1	2	Actinobacteria	7.091603725	25.93333333	19.6
2	5	2	1	2	Actinobacteria	7.18958629	25.93333333	19.6
2	5	2	1	2	Actinobacteria	7.139338821	25.93333333	19.6
2	1	1	2	3	Actinobacteria	7.086578979	16.825	NA
2	1	1	2	3	Actinobacteria	7.12426458	16.825	NA
2	1	1	2	3	Actinobacteria	7.11672746	16.825	NA
2	1	2	2	3	Actinobacteria	7.086578979	16.825	NA
2	1	2	2	3	Actinobacteria	7.111702713	16.825	NA
2	1	2	2	3	Actinobacteria	7.149388315	16.825	NA
2	2	1	2	3	Actinobacteria	6.893126224	16.825	17.9
2	2	1	2	3	Actinobacteria	6.960960307	16.825	17.9
2	2	1	2	3	Actinobacteria	6.857952996	16.825	17.9
2	2	2	2	3	Actinobacteria	6.787606539	16.825	16.4
2	2	2	2	3	Actinobacteria	6.855440622	16.825	16.4
2	2	2	2	3	Actinobacteria	6.862977742	16.825	16.4
2	3	1	2	3	Actinobacteria	6.654450747	16.825	19.1
2	3	1	2	3	Actinobacteria	6.65696312	16.825	19.1
2	3	1	2	3	Actinobacteria	6.621789892	16.825	19.1
2	3	2	2	3	Actinobacteria	6.616765145	16.825	13.9
2	3	2	2	3	Actinobacteria	6.624302266	16.825	13.9
2	3	2	2	3	Actinobacteria	6.604203278	16.825	13.9
2	4	1	2	3	Actinobacteria	6.41577527	16.825	NA
2	4	1	2	3	Actinobacteria	6.425824764	16.825	NA
2	4	1	2	3	Actinobacteria	6.460997992	16.825	NA
2	4	2	2	3	Actinobacteria	6.825292141	16.825	NA
2	4	2	2	3	Actinobacteria	6.830316888	16.825	NA
2	4	2	2	3	Actinobacteria	6.822779767	16.825	NA
2	5	1	2	3	Actinobacteria	6.468535112	16.825	NA
2	5	1	2	3	Actinobacteria	6.483609353	16.825	NA
2	5	1	2	3	Actinobacteria	6.506220714	16.825	NA
2	5	2	2	3	Actinobacteria	6.420800017	16.825	NA
2	5	2	2	3	Actinobacteria	NA	16.825	NA
2	5	2	2	3	Actinobacteria	6.300206092	16.825	NA
1	1	1	1	1	Alphaproteobacteria	7.440613148	26.76666667	28.6
1	1	1	1	1	Alphaproteobacteria	7.500039682	26.76666667	28.6
1	1	1	1	1	Alphaproteobacteria	7.541638256	26.76666667	28.6
1	1	2	1	1	Alphaproteobacteria	NA	26.76666667	25.4
1	1	2	1	1	Alphaproteobacteria	NA	26.76666667	25.4
1	1	2	1	1	Alphaproteobacteria	NA	26.76666667	25.4
1	2	1	1	1	Alphaproteobacteria	8.970846397	26.76666667	26.7
1	2	1	1	1	Alphaproteobacteria	9.039186911	26.76666667	26.7
1	2	1	1	1	Alphaproteobacteria	9.054043545	26.76666667	26.7
1	2	2	1	1	Alphaproteobacteria	8.982731704	26.76666667	27.5
1	2	2	1	1	Alphaproteobacteria	8.997588337	26.76666667	27.5
1	2	2	1	1	Alphaproteobacteria	8.988674357	26.76666667	27.5
1	3	1	1	1	Alphaproteobacteria	7.378215287	26.76666667	26.1
1	3	1	1	1	Alphaproteobacteria	7.473297742	26.76666667	26.1
1	3	1	1	1	Alphaproteobacteria	7.479240395	26.76666667	26.1
1	3	2	1	1	Alphaproteobacteria	7.63672071	26.76666667	28.8
1	3	2	1	1	Alphaproteobacteria	7.66346265	26.76666667	28.8
1	3	2	1	1	Alphaproteobacteria	7.633749383	26.76666667	28.8
1	4	1	1	1	Alphaproteobacteria	8.23098605	26.76666667	22.5
1	4	1	1	1	Alphaproteobacteria	8.28446993	26.76666667	22.5
1	4	1	1	1	Alphaproteobacteria	8.30229789	26.76666667	22.5
1	4	2	1	1	Alphaproteobacteria	7.428727841	26.76666667	22.3
1	4	2	1	1	Alphaproteobacteria	7.479240395	26.76666667	22.3
1	4	2	1	1	Alphaproteobacteria	7.470326415	26.76666667	22.3
1	5	1	1	1	Alphaproteobacteria	7.972480627	26.76666667	30
1	5	1	1	1	Alphaproteobacteria	8.064591754	26.76666667	30
1	5	1	1	1	Alphaproteobacteria	8.073505735	26.76666667	30
1	5	2	1	1	Alphaproteobacteria	8.540004026	26.76666667	30.1
1	5	2	1	1	Alphaproteobacteria	8.605373213	26.76666667	30.1
1	5	2	1	1	Alphaproteobacteria	8.560803313	26.76666667	30.1
1	1	1	2	2	Alphaproteobacteria	7.271247526	19.58333333	25.4
1	1	1	2	2	Alphaproteobacteria	7.2682762	19.58333333	25.4
1	1	1	2	2	Alphaproteobacteria	7.211820992	19.58333333	25.4
1	1	2	2	2	Alphaproteobacteria	7.087025271	19.58333333	24.3
1	1	2	2	2	Alphaproteobacteria	7.039484044	19.58333333	24.3
1	1	2	2	2	Alphaproteobacteria	7.039484044	19.58333333	24.3
1	2	1	2	2	Alphaproteobacteria	8.679656381	19.58333333	19.5
1	2	1	2	2	Alphaproteobacteria	8.691541688	19.58333333	19.5
1	2	1	2	2	Alphaproteobacteria	8.679656381	19.58333333	19.5
1	2	2	2	2	Alphaproteobacteria	8.575659946	19.58333333	20.9
1	2	2	2	2	Alphaproteobacteria	8.575659946	19.58333333	20.9
1	2	2	2	2	Alphaproteobacteria	8.471663512	19.58333333	20.9
1	3	1	2	2	Alphaproteobacteria	9.143183346	19.58333333	17.5
1	3	1	2	2	Alphaproteobacteria	9.122384059	19.58333333	17.5
1	3	1	2	2	Alphaproteobacteria	9.092670792	19.58333333	17.5
1	3	2	2	2	Alphaproteobacteria	9.235294473	19.58333333	20.9
1	3	2	2	2	Alphaproteobacteria	9.232323147	19.58333333	20.9
1	3	2	2	2	Alphaproteobacteria	9.175867939	19.58333333	20.9
1	4	1	2	2	Alphaproteobacteria	8.305269217	19.58333333	13.6
1	4	1	2	2	Alphaproteobacteria	8.329039831	19.58333333	13.6
1	4	1	2	2	Alphaproteobacteria	8.225043396	19.58333333	13.6
1	4	2	2	2	Alphaproteobacteria	8.100247675	19.58333333	14.3
1	4	2	2	2	Alphaproteobacteria	8.106190328	19.58333333	14.3
1	4	2	2	2	Alphaproteobacteria	8.067563081	19.58333333	14.3
1	5	1	2	2	Alphaproteobacteria	8.076477061	19.58333333	22
1	5	1	2	2	Alphaproteobacteria	7.98733726	19.58333333	22
1	5	1	2	2	Alphaproteobacteria	7.874426846	19.58333333	22
1	5	2	2	2	Alphaproteobacteria	8.447892898	19.58333333	20.9
1	5	2	2	2	Alphaproteobacteria	8.55486066	19.58333333	20.9
1	5	2	2	2	Alphaproteobacteria	8.409265651	19.58333333	20.9
1	1	1	1	2	Alphaproteobacteria	7.01571343	26.3	24.7
1	1	1	1	2	Alphaproteobacteria	7.036512717	26.3	24.7
1	1	1	1	2	Alphaproteobacteria	7.089996598	26.3	24.7
1	1	2	1	2	Alphaproteobacteria	7.042455371	26.3	23.4
1	1	2	1	2	Alphaproteobacteria	7.030570064	26.3	23.4
1	1	2	1	2	Alphaproteobacteria	7.039484044	26.3	23.4
1	2	1	1	2	Alphaproteobacteria	8.813366082	26.3	22
1	2	1	1	2	Alphaproteobacteria	8.872792616	26.3	22
1	2	1	1	2	Alphaproteobacteria	8.890620576	26.3	22
1	2	2	1	2	Alphaproteobacteria	8.688570361	26.3	27.3
1	2	2	1	2	Alphaproteobacteria	8.694513014	26.3	27.3
1	2	2	1	2	Alphaproteobacteria	8.682627708	26.3	27.3
1	3	1	1	2	Alphaproteobacteria	9.217466513	26.3	26.8
1	3	1	1	2	Alphaproteobacteria	9.297692334	26.3	26.8
1	3	1	1	2	Alphaproteobacteria	9.288778354	26.3	26.8
1	3	2	1	2	Alphaproteobacteria	9.342262234	26.3	25.1
1	3	2	1	2	Alphaproteobacteria	9.354147541	26.3	25.1
1	3	2	1	2	Alphaproteobacteria	9.324434274	26.3	25.1
1	4	1	1	2	Alphaproteobacteria	8.349839117	26.3	18.1
1	4	1	1	2	Alphaproteobacteria	8.441950245	26.3	18.1
1	4	1	1	2	Alphaproteobacteria	8.456806879	26.3	18.1
1	4	2	1	2	Alphaproteobacteria	8.486520145	26.3	17.6
1	4	2	1	2	Alphaproteobacteria	8.537032699	26.3	17.6
1	4	2	1	2	Alphaproteobacteria	8.55486066	26.3	17.6
1	5	1	1	2	Alphaproteobacteria	8.623201174	26.3	21.9
1	5	1	1	2	Alphaproteobacteria	8.667771074	26.3	21.9
1	5	1	1	2	Alphaproteobacteria	8.661828421	26.3	21.9
1	5	2	1	2	Alphaproteobacteria	8.498405452	26.3	22.2
1	5	2	1	2	Alphaproteobacteria	8.453835552	26.3	22.2
1	5	2	1	2	Alphaproteobacteria	8.519204739	26.3	22.2
1	1	1	2	3	Alphaproteobacteria	7.229648952	17.73333333	NA
1	1	1	2	3	Alphaproteobacteria	7.214792319	17.73333333	NA
1	1	1	2	3	Alphaproteobacteria	7.250448239	17.73333333	NA
1	1	2	2	3	Alphaproteobacteria	7.336616714	17.73333333	NA
1	1	2	2	3	Alphaproteobacteria	7.34850202	17.73333333	NA
1	1	2	2	3	Alphaproteobacteria	7.244505586	17.73333333	NA
1	2	1	2	3	Alphaproteobacteria	8.63508648	17.73333333	20.7
1	2	1	2	3	Alphaproteobacteria	8.629143827	17.73333333	20.7
1	2	1	2	3	Alphaproteobacteria	8.638057807	17.73333333	20.7
1	2	2	2	3	Alphaproteobacteria	8.739082915	17.73333333	20.5
1	2	2	2	3	Alphaproteobacteria	8.742054241	17.73333333	20.5
1	2	2	2	3	Alphaproteobacteria	8.712340974	17.73333333	20.5
1	3	1	2	3	Alphaproteobacteria	8.376581058	17.73333333	19.2
1	3	1	2	3	Alphaproteobacteria	8.382523711	17.73333333	19.2
1	3	1	2	3	Alphaproteobacteria	8.406294325	17.73333333	19.2
1	3	2	2	3	Alphaproteobacteria	8.584573926	17.73333333	20.6
1	3	2	2	3	Alphaproteobacteria	8.575659946	17.73333333	20.6
1	3	2	2	3	Alphaproteobacteria	8.528118719	17.73333333	20.6
1	4	1	2	3	Alphaproteobacteria	8.614287193	17.73333333	NA
1	4	1	2	3	Alphaproteobacteria	8.59943056	17.73333333	NA
1	4	1	2	3	Alphaproteobacteria	8.55486066	17.73333333	NA
1	4	2	2	3	Alphaproteobacteria	8.465720859	17.73333333	15.9
1	4	2	2	3	Alphaproteobacteria	8.462749532	17.73333333	15.9
1	4	2	2	3	Alphaproteobacteria	8.358753097	17.73333333	15.9
1	5	1	2	3	Alphaproteobacteria	8.700455668	17.73333333	NA
1	5	1	2	3	Alphaproteobacteria	8.679656381	17.73333333	NA
1	5	1	2	3	Alphaproteobacteria	8.685599034	17.73333333	NA
1	5	2	2	3	Alphaproteobacteria	8.902505883	17.73333333	NA
1	5	2	2	3	Alphaproteobacteria	8.893591903	17.73333333	NA
1	5	2	2	3	Alphaproteobacteria	8.819308736	17.73333333	NA
2	1	1	1	1	Alphaproteobacteria	8.085391041	27.11666667	30.1
2	1	1	1	1	Alphaproteobacteria	8.192358802	27.11666667	30.1
2	1	1	1	1	Alphaproteobacteria	8.162645535	27.11666667	30.1
2	1	2	1	1	Alphaproteobacteria	7.072168638	27.11666667	27.6
2	1	2	1	1	Alphaproteobacteria	7.140509152	27.11666667	27.6
2	1	2	1	1	Alphaproteobacteria	7.137537825	27.11666667	27.6
2	2	1	1	1	Alphaproteobacteria	8.706398321	27.11666667	25.1
2	2	1	1	1	Alphaproteobacteria	8.691541688	27.11666667	25.1
2	2	1	1	1	Alphaproteobacteria	8.676685054	27.11666667	25.1
2	2	2	1	1	Alphaproteobacteria	8.973817724	27.11666667	23.1
2	2	2	1	1	Alphaproteobacteria	9.000559664	27.11666667	23.1
2	2	2	1	1	Alphaproteobacteria	8.947075784	27.11666667	23.1
2	3	1	1	1	Alphaproteobacteria	8.462749532	27.11666667	24.7
2	3	1	1	1	Alphaproteobacteria	8.507319432	27.11666667	24.7
2	3	1	1	1	Alphaproteobacteria	8.55486066	27.11666667	24.7
2	3	2	1	1	Alphaproteobacteria	8.596459233	27.11666667	27.4
2	3	2	1	1	Alphaproteobacteria	8.620229847	27.11666667	27.4
2	3	2	1	1	Alphaproteobacteria	8.605373213	27.11666667	27.4
2	4	1	1	1	Alphaproteobacteria	8.400351671	27.11666667	25.8
2	4	1	1	1	Alphaproteobacteria	8.471663512	27.11666667	25.8
2	4	1	1	1	Alphaproteobacteria	8.498405452	27.11666667	25.8
2	4	2	1	1	Alphaproteobacteria	8.412236978	27.11666667	21.2
2	4	2	1	1	Alphaproteobacteria	8.453835552	27.11666667	21.2
2	4	2	1	1	Alphaproteobacteria	8.447892898	27.11666667	21.2
2	5	1	1	1	Alphaproteobacteria	8.447892898	27.11666667	30.3
