Treatment	Plot	Rep	Month	Year	Phylum	LogCopyNumber	SoilMoisture	SoilMoisturePlot
1	5	1	2	3	Total	9.543725249	17.73333333	NA
1	5	1	2	3	Total	9.563305669	17.73333333	NA
1	5	2	2	3	Total	9.347921053	17.73333333	NA
1	5	2	2	3	Total	9.398270704	17.73333333	NA
1	5	2	2	3	Total	9.311557417	17.73333333	NA
2	1	1	1	1	Total	8.782886088	27.11666667	30.1
2	1	1	1	1	Total	8.855613361	27.11666667	30.1
2	1	1	1	1	Total	8.869599375	27.11666667	30.1
2	1	2	1	1	Total	7.980088885	27.11666667	27.6
2	1	2	1	1	Total	8.010858116	27.11666667	27.6
2	1	2	1	1	Total	7.988480494	27.11666667	27.6
2	2	1	1	1	Total	9.57449448	27.11666667	25.1
2	2	1	1	1	Total	9.669599375	27.11666667	25.1
2	2	1	1	1	Total	9.666802172	27.11666667	25.1
2	2	2	1	1	Total	9.445823151	27.11666667	23.1
2	2	2	1	1	Total	9.457011962	27.11666667	23.1
2	2	2	1	1	Total	9.437431543	27.11666667	23.1
2	3	1	1	1	Total	9.258410564	27.11666667	24.7
2	3	1	1	1	Total	9.289179795	27.11666667	24.7
2	3	1	1	1	Total	9.331137837	27.11666667	24.7
2	3	2	1	1	Total	9.163305669	27.11666667	27.4
2	3	2	1	1	Total	9.208060913	27.11666667	27.4
2	3	2	1	1	Total	9.166102871	27.11666667	27.4
2	4	1	1	1	Total	9.166102871	27.11666667	25.8
2	4	1	1	1	Total	9.196872102	27.11666667	25.8
2	4	1	1	1	Total	9.272396578	27.11666667	25.8
2	4	2	1	1	Total	9.152116857	27.11666667	21.2
2	4	2	1	1	Total	9.191277697	27.11666667	21.2
2	4	2	1	1	Total	9.17449448	27.11666667	21.2
2	5	1	1	1	Total	9.135333641	27.11666667	30.3
2	5	1	1	1	Total	9.194074899	27.11666667	30.3
2	5	1	1	1	Total	9.182886088	27.11666667	30.3
2	5	2	1	1	Total	8.777291683	27.11666667	28.4
2	5	2	1	1	Total	8.735333641	27.11666667	28.4
2	5	2	1	1	Total	8.805263711	27.11666667	28.4
2	1	1	2	2	Total	9.627641333	16.65	16.1
2	1	1	2	2	Total	9.664004969	16.65	16.1
2	1	1	2	2	Total	9.588480494	16.65	16.1
2	1	2	2	2	Total	9.733935039	16.65	17.1
2	1	2	2	2	Total	9.770298676	16.65	17.1
2	1	2	2	2	Total	9.672396578	16.65	17.1
2	2	1	2	2	Total	8.978690284	16.65	17.8
2	2	1	2	2	Total	9.020648326	16.65	17.8
2	2	1	2	2	Total	8.992676298	16.65	17.8
2	2	2	2	2	Total	9.417851123	16.65	16.1
2	2	2	2	2	Total	9.443025948	16.65	16.1
2	2	2	2	2	Total	9.389879095	16.65	16.1
2	3	1	2	2	Total	9.571697277	16.65	14.6
2	3	1	2	2	Total	9.62484413	16.65	14.6
2	3	1	2	2	Total	9.580088885	16.65	14.6
2	3	2	2	2	Total	9.367501473	16.65	16.5
2	3	2	2	2	Total	9.375893081	16.65	16.5
2	3	2	2	2	Total	9.305963011	16.65	16.5
2	4	1	2	2	Total	8.833235739	16.65	19.8
2	4	1	2	2	Total	8.836032941	16.65	19.8
2	4	1	2	2	Total	8.869599375	16.65	19.8
2	4	2	2	2	Total	8.942326648	16.65	14.2
2	4	2	2	2	Total	8.94512385	16.65	14.2
2	4	2	2	2	Total	8.925543431	16.65	14.2
2	5	1	2	2	Total	9.157711263	16.65	16.7
2	5	1	2	2	Total	9.202466508	16.65	16.7
2	5	1	2	2	Total	9.146522452	16.65	16.7
2	5	2	2	2	Total	8.900368606	16.65	15.7
2	5	2	2	2	Total	8.919949025	16.65	15.7
2	5	2	2	2	Total	8.858410564	16.65	15.7
2	1	1	1	2	Total	9.613655319	25.93333333	25.4
2	1	1	1	2	Total	9.655613361	25.93333333	25.4
2	1	1	1	2	Total	9.666802172	25.93333333	25.4
2	1	2	1	2	Total	9.725543431	25.93333333	22.6
2	1	2	1	2	Total	9.817851123	25.93333333	22.6
2	1	2	1	2	Total	9.703165809	25.93333333	22.6
2	2	1	1	2	Total	9.031837137	25.93333333	23.1
2	2	1	1	2	Total	9.115753221	25.93333333	23.1
2	2	1	1	2	Total	9.171697277	25.93333333	23.1
2	2	2	1	2	Total	9.255613361	25.93333333	23.6
2	2	2	1	2	Total	9.283585389	25.93333333	23.6
2	2	2	1	2	Total	9.289179795	25.93333333	23.6
2	3	1	1	2	Total	9.003865109	25.93333333	23.3
2	3	1	1	2	Total	9.129739235	25.93333333	23.3
2	3	1	1	2	Total	9.087781193	25.93333333	23.3
2	3	2	1	2	Total	9.031837137	25.93333333	24.4
2	3	2	1	2	Total	9.087781193	25.93333333	24.4
2	3	2	1	2	Total	9.112956018	25.93333333	24.4
2	4	1	1	2	Total	7.857011962	25.93333333	20.7
2	4	1	1	2	Total	7.929739235	25.93333333	20.7
2	4	1	1	2	Total	8.005263711	25.93333333	20.7
2	4	2	1	2	Total	8.326942032	25.93333333	17.6
2	4	2	1	2	Total	8.360508466	25.93333333	17.6
2	4	2	1	2	Total	8.340928046	25.93333333	17.6
2	5	1	1	2	Total	9.429039934	25.93333333	20.1
2	5	1	1	2	Total	9.479389585	25.93333333	20.1
2	5	1	1	2	Total	9.490578396	25.93333333	20.1
2	5	2	1	2	Total	9.568900074	25.93333333	19.6
2	5	2	1	2	Total	9.62484413	25.93333333	19.6
2	5	2	1	2	Total	9.591277697	25.93333333	19.6
2	1	1	2	3	Total	9.571697277	16.825	NA
2	1	1	2	3	Total	9.627641333	16.825	NA
2	1	1	2	3	Total	9.596872102	16.825	NA
2	1	2	2	3	Total	9.490578396	16.825	NA
2	1	2	2	3	Total	9.538130843	16.825	NA
2	1	2	2	3	Total	9.476592382	16.825	NA
2	2	1	2	3	Total	9.398270704	16.825	17.9
2	2	1	2	3	Total	9.431837137	16.825	17.9
2	2	1	2	3	Total	9.378690284	16.825	17.9
2	2	2	2	3	Total	9.152116857	16.825	16.4
2	2	2	2	3	Total	9.196872102	16.825	16.4
2	2	2	2	3	Total	9.118550424	16.825	16.4
2	3	1	2	3	Total	9.163305669	16.825	19.1
2	3	1	2	3	Total	9.216452522	16.825	19.1
2	3	1	2	3	Total	9.191277697	16.825	19.1
2	3	2	2	3	Total	9.373095878	16.825	13.9
2	3	2	2	3	Total	9.373095878	16.825	13.9
2	3	2	2	3	Total	9.289179795	16.825	13.9
2	4	1	2	3	Total	9.322746228	16.825	NA
2	4	1	2	3	Total	9.375893081	16.825	NA
2	4	1	2	3	Total	9.389879095	16.825	NA
2	4	2	2	3	Total	9.051417557	16.825	NA
2	4	2	2	3	Total	9.037431543	16.825	NA
2	4	2	2	3	Total	9.057011962	16.825	NA
2	5	1	2	3	Total	9.076592382	16.825	NA
2	5	1	2	3	Total	9.118550424	16.825	NA
2	5	1	2	3	Total	9.098970004	16.825	NA
2	5	2	2	3	Total	8.738130843	16.825	NA
2	5	2	2	3	Total	8.749319655	16.825	NA
2	5	2	2	3	Total	8.75491406	16.825	NA
1	1	1	1	1	Acidobacteria	6.45128054	26.76666667	28.6
1	1	1	1	1	Acidobacteria	6.471613258	26.76666667	28.6
1	1	1	1	1	Acidobacteria	6.532611409	26.76666667	28.6
1	1	2	1	1	Acidobacteria	6.379191816	26.76666667	25.4
1	1	2	1	1	Acidobacteria	6.393979246	26.76666667	25.4
1	1	2	1	1	Acidobacteria	6.379191816	26.76666667	25.4
1	2	1	1	1	Acidobacteria	7.687879431	26.76666667	26.7
1	2	1	1	1	Acidobacteria	7.756271298	26.76666667	26.7
