Date 	Plot	Replicate	Treatment	SoilMoisture
6/26/2006	2	1	2	21.9
6/26/2006	3	1	2	17.5
6/26/2006	4	1	2	18.3
6/26/2006	1	1	2	25
6/26/2006	5	1	2	21.8
6/26/2006	6	1	2	25.9
6/26/2006	2	2	2	25.1
6/26/2006	3	2	2	18.8
6/26/2006	4	2	2	14.9
6/26/2006	1	2	2	23.2
6/26/2006	5	2	2	20.7
6/26/2006	6	2	2	22.7
7/17/2006	2	1	2	12.9
7/17/2006	3	1	2	12.5
7/17/2006	4	1	2	7.7
7/17/2006	1	1	2	14.9
7/17/2006	5	1	2	9.7
7/17/2006	6	1	2	8.8
7/17/2006	2	2	2	10.4
7/17/2006	3	2	2	10.3
7/17/2006	4	2	2	7.8
7/17/2006	1	2	2	13
7/17/2006	5	2	2	10.3
7/17/2006	6	2	2	10.3
8/1/2006	2	1	2	23.6
8/1/2006	3	1	2	22.9
8/1/2006	4	1	2	19.3
8/1/2006	1	1	2	26.1
8/1/2006	5	1	2	22
8/1/2006	6	1	2	21.1
8/1/2006	2	2	2	24.5
8/1/2006	3	2	2	25.6
8/1/2006	4	2	2	13.1
8/1/2006	1	2	2	24.4
8/1/2006	5	2	2	22.8
8/1/2006	6	2	2	20.3
9/8/2006	2	1	2	26.4
9/8/2006	3	1	2	28.1
9/8/2006	4	1	2	27
9/8/2006	1	1	2	30.4
9/8/2006	5	1	2	29.2
9/8/2006	6	1	2	27.1
9/8/2006	2	2	2	26.1
9/8/2006	3	2	2	28.5
9/8/2006	4	2	2	25.8
9/8/2006	1	2	2	28.2
9/8/2006	5	2	2	26.8
9/8/2006	6	2	2	27.2
10/8/2006	2	1	2	20.2
10/8/2006	3	1	2	18.5
10/8/2006	4	1	2	16.4
10/8/2006	1	1	2	17.9
10/8/2006	5	1	2	19.7
10/8/2006	6	1	2	14.5
10/8/2006	2	2	2	16.8
10/8/2006	3	2	2	21
10/8/2006	4	2	2	13.6
10/8/2006	1	2	2	17.6
10/8/2006	5	2	2	15.2
10/8/2006	6	2	2	14.5
11/11/2006	2	1	2	30.1
11/11/2006	3	1	2	29
11/11/2006	4	1	2	30.3
11/11/2006	1	1	2	34.1
11/11/2006	5	1	2	31.5
11/11/2006	6	1	2	31.3
11/11/2006	2	2	2	29.3
11/11/2006	3	2	2	31.3
11/11/2006	4	2	2	31.3
11/11/2006	1	2	2	28.2
11/11/2006	5	2	2	29.3
11/11/2006	6	2	2	29
12/23/2006	2	1	2	NA
12/23/2006	3	1	2	37.4
12/23/2006	4	1	2	34.2
12/23/2006	1	1	2	37.7
12/23/2006	5	1	2	34
12/23/2006	6	1	2	28.8
12/23/2006	2	2	2	34.6
12/23/2006	3	2	2	38
12/23/2006	4	2	2	37.2
12/23/2006	1	2	2	35.3
12/23/2006	5	2	2	30.8
12/23/2006	6	2	2	31.2
